text_answer,text_answer_fr
Completing the pre-course work,En faisant le travail de pré-formation
Discussing the use of this training with my supervisor,En discutant de l’utilité de cette formation avec mon superviseur
General interest,Intérêt général
I did not prepare for this learning activity before taking it,Je ne me suis pas préparé à cette activité d’apprentissage avant d’y participer
My supervisor requested I take the course,Mon superviseur m'a demandé de suivre ce cours
No,Non
Taking other recommended courses related to the topic,En suivant des cours connexes qui m’ont été recommandés
"To acquire new knowledge, skills, attitudes","Pour acquérir de nouvelles connaissances, habiletés, attitudes"
To acquire new knowledge/skills/attitudes,"Pour acquérir de nouvelles connaissances, habiletés, attitudes"
To complete mandatory training,Pour suivre une formation obligatoire
To prepare for a career change,Pour me préparer à un changement de carrière
To prepare for a test,Pour me préparer à un examen
To pursue my professional development,Pour poursuivre mon perfectionnement professionnel
Understanding how the learning is relevant to my job-related development,En comprenant la pertinence de cet apprentissage à mon perfectionnement au travail
Understanding how the learning was relevant to my job-related development,En comprenant la pertinence de cet apprentissage à mon perfectionnement au travail
Yes,Oui
